IDX,Source,Category,Topic,References,Description,Done
130,"Bryan, Dec 2021",,Question Box Questions,,Keep all the questions from the 2022 Retreats and bring them to group. (Record my responses if possible.),1/25/23
131,"Bryan, Jan 2022",,Talking about Bicycles: Four Stages of Enchantment,,"An essay by C.S. Lewis about the four stages of enchantment in faith and in other important aspects of life: 1) Unenchanted, 2) Enchanged, 3) Disenchanted, 4) Re-enchanted. This was discussed in a CSYSK Podcast (#512, 11/12/21)",1/12/22
132,"Tyler, Jan 2022 Survey",,When you’re discouraged,,Based on a Fr. Mike Schmitz podcast.,X
133,"Tyler, Jan 2022 Survey",,Sunday Obligation Explained,,Based on a Fr. Mike Schmitz podcast.,
134,"Tyler, Jan 2022 Survey",,Joy in Uncertainty,,Based on a Fr. Mike Schmitz podcast.,4/5/23
135,Michael 7/27/22,,"Creation, Space, and the Vastness of the Universe.",,Including aliens,12/7/22
136,Josh via online form,,"Book: How to be a Gentleman (or something like that): Sex, Manners, and Ruling the World",,,10/19/22
137,"Tyler, April survey",,Weaknesses become our strengths,,Suggestion from April survey,8/31/22
138,"Paul, April '22 survey",,Have Dr Sri join our group online.,,"He has 30 topics to choose from. He does a 30 minute presentation and then 30 minutes discussion
https://edwardsri.com/virtual-speaking/",
139,"Paul, April '22 survey",,Spiritual Warfare and Guardian Angels,,Suggestion from April survey,11/2/22
140,"Paul, April '22 survey",,Charisms ,,Suggestion from April survey,
141,"Tyler, August '22 survey",,The Galileo Controversy,,Suggestion from August survey,3/15/23
142,"Matt, August '22 survey",,What is a man? What does it mean to be a man?,,Suggestion from August survey,remove
143,"Discussion during USCCB topic, 8/24/22",,Catholic perspective on immigration policy,,What does the Catholic Church - and specifically the USCCB - teach about immigration? What policies are in line with Church teaching?,3/8/23
144,Hayes 11/30/22,,"Faith, Free Will, and Fate",,Squaring God's plan / Creation with our Free Will and the concept of Fate. Hayes has done some research on this topic through Catholic Answers.,2/15/23
145,Josh 11/30/22,,Vatican II,,"Josh is reading a book by George Weigel about Vatican II (said in January 2023 he wasn't ready yet, and might not fit our format)",8/16/23
146,"Tyler, Feb '23 survey",,Did JP2 kiss the Quran?,,,
147,"Tyler, Feb '23 survey",,Why is God in the Declaration of Independence but not in the Constitution?,,,
148,"Tyler, Feb '23 survey",,Catholic Teaching on Stem-cell research ,,,11/29/23
149,"Steven, April '23 survey",,The Holy Spirit’s role in the modern Church,,Possibly a continuation of the Vatican II discussion!,
150,Bryan,,"Frodo, Gandalf, Aragorn: Priest, Prophet, and King",,A look at the three roles we receive in baptism through the lens of Lord of the Rings,1/31/24
151,Bryan,,Synodality,,"The purpose of synod in the Church, the connection to Vatican II, and the Synod on Synodality",
152,,,"Recent papal declaration (gay blessings), Fiducia supplicans",,,2/7/24
153,,,Cross-faith talk,,"Eric's neighbor might be a good person to bring in. Could also reach out to someone at Mount Calvary Lutheran and ask if a faculty member wants to come talk to us, or if they have a men's group we can draw from.",
154,,,Who in Scripture do you identify with most?,,,
155,,,The 4th Commandment: how to care for parents,,,
156,,,St. Augustine’s confessions,,Kevin is getting into it,
157,,,"Faith, Works, and Faithfullness",,"Bryan, based on a few chapters from The Lost Message of Paul",
